"StopID,C,254","Stop_name,C,254","CleverID,N,19,11","Direction,C,254","Timepoint,C,254","Routes_ser,C,254","Routes_cou,N,19,11","Latitude,N,19,11","Longitude,N,19,11","Mode,C,254","Shelter,C,254","Stop_type,C,254","On_avwk_FY,N,19,11","Off_avwk_F,N,19,11","On_avwk__1,C,254","Off_avwk_1,C,254","AvgWkdy_De,N,19,11"
N71210,NORTH SIDE STATION,99999,Inbound,N,"BLLB, BLSV, RED",3,40.447495,-80.008946,Light Rail,PAAC,Light Rail Station,601,4049,601,4049,0
N71211,ALLEGHENY STATION,99998,Both,07098,"BLLB, BLSV, RED",3,40.447801,-80.01834,Light Rail,PAAC,Light Rail Station,3989,3127,3989,3127,0
N71223,NORTH SIDE STATION,98881,Outbound,N,"BLLB, BLSV, RED",3,40.447494,-80.009029,Light Rail,No Shelter,Light Rail Station,3471,225,3471,225,0
P02956,FIRST AVENUE STATION,99997,Inbound,N,"BLLB, BLSV, RED",3,40.435234,-79.996668,Light Rail,PAAC,Light Rail Station,1097,808,1097,808,0
P02957,FIRST AVENUE STATION,99996,Outbound,N,"BLLB, BLSV, RED",3,40.435298,-79.996751,Light Rail,PAAC,Light Rail Station,573,1020,573,1020,0
P03510,STEEL PLAZA STATION,99995,Inbound,N,"BLLB, BLSV, RED",3,40.439794,-79.995653,Light Rail,PAAC,Light Rail Station,1312,4212,1312,4212,0
P03520,STEEL PLAZA STATION,99994,Outbound,N,"BLLB, BLSV, RED",3,40.439902,-79.995778,Light Rail,PAAC,Light Rail Station,3333,2075,3333,2075,0
P70020,WOOD STREET STATION,99993,Outbound,07099,"BLLB, BLSV, RED",3,40.442286,-79.999569,Light Rail,PAAC,Light Rail Station,2485,2770,2485,2770,0
P70021,WOOD STREET STATION,99992,Inbound,07100,"BLLB, BLSV, RED",3,40.442355,-79.999515,Light Rail,PAAC,Light Rail Station,1984,2805,1984,2805,0
P70025,GATEWAY STATION,99991,Inbound,N,"BLLB, BLSV, RED",3,40.441701,-80.004132,Light Rail,PAAC,Light Rail Station,2520,3267,2520,3267,0
P70026,GATEWAY STATION,98880,Outbound,N,"BLLB, BLSV, RED",3,40.44168,-80.004245,Light Rail,No Shelter,Light Rail Station,2996,2838,2996,2838,0
X02822,BROADWAY AVE AT SHIRAS,17482,Inbound,N,RED,1,40.404056,-80.030102,Light Rail,PAAC,Light Rail Station,134,10,134,10,0
X13800,ARLINGTON,99984,Inbound,N,RED,1,40.369976,-80.033224,Light Rail,PAAC,Light Rail Station,147,17,147,17,0
X13810,BEAGLE,99982,Inbound,N,BLLB,1,40.300846,-80.031314,Light Rail,PAAC,Light Rail Station,26,0,26,0,0
X13850,BETHEL VILLAGE,99980,Inbound,N,"BLSV, RED",2,40.344093,-80.046369,Light Rail,PAAC,Light Rail Station,80,3,80,3,0
X13900,CASSWELL,99978,Inbound,N,"BLSV, RED",2,40.349183,-80.033595,Light Rail,PAAC,Light Rail Station,28,1,28,1,0
